District,Pharmacy Name,Address,Phone

البقاع الغربي,النور الجديدة - بعلول,بعلول حي الشارع العام طريق عام بعلول القرعون ملك أديب قاسم النسر عقار 2269,08/630075; 03/699680
البقاع الغربي,دورين - خربة قنافار,خربة قنافار- الحي التحتاني- الشارع العام- ملك مارسل كرم,08/645744
البقاع الغربي,زاهر - جبجنين,جب جنين العقارية عقار رقم 2041 ملك حسين خليل الدسوقي,08/660360; 76/620602
البقاع الغربي,شمس الدين - جبجنين,جب جنين- الشارع العام- ملك محمد احمد الملط,08/661165
البقاع الغربي,صيدلية اسراء - جب جنين,جب جنين الطريق العام رأس فيلول عقار رقم 905 -ملك صالح أحمد شمس الدين,08/663030
البقاع الغربي,صيدلية البحيره - مشغرة,منطقة مشغرة العقارية -الشارع العام عقار 4790 المحل الثاني من الجهة الشمالية- ملك ايمن مرعي,71/951190
البقاع الغربي,صيدلية الدسوقي Dasuki Pharmacy - جب جنين,صيدلية الدسوقي جب جنين -الشارع العام -عقار رقم 767 ملك منير كمال شرانق,08/662616
البقاع الغربي,صيدلية الغد الأفضل الطبية - الخياره,الخيارة الطريق العام -العقار رقم 147-الخيارة-المحل من الجهة الجنوبية الشرقية- مقابل مدخل الجامعة اللبنانية,71/320751
البقاع الغربي,صيدلية الهادي الحديثة,منطقة سحمر العقارية-محل رقم 1و2 من الجهة الجنوبية الغربية-عقار رقم 367- ملك علي القزويني,81/827992
البقاع الغربي,صيدلية الين - القرعون,القرعون -حي الميدان -الشارع العام -عقار رقم 184-ملك طارق كموني,08/631173; 03/173741
البقاع الغربي,صيدلية ثابت - كامد اللوز,كامد اللوز الطريق العام عقار رقم 1496 ملك عبد اللطيف أحمد طه,08/662732; 03/770831
البقاع الغربي,صيدلية رمضان - المرج,منطقة المرج -حي المقاصد شارع عمر بن العاص عقار رقم 1314-1315 المرج العقارية ملك حسن محمد زعرور,28/512760; 03/025090
البقاع الغربي,صيدلية فارما تودو FARMA TODO,عقار رقم 1454-الال-حي الفاخورية- الطريق العام المحلين من الجهة الشرقية الجنوبية -ملك جمعية الكشاف المسلم,08/663062; 78/823282
البقاع الغربي,صيدلية محيدلي الطبية Med Pharmacy Mhaidly - مشغرة,منطقة مشغرة العقارية -الشارع العام عقار 562 -المحلان الواقعان في الجهة الشمالية -ملك عيسى محيدلي,08/650850; 78/860751
البقاع الغربي,كامد اللوز - كامد اللوز,كامد اللوز الشارع العام ملك احمد طه عقار 1458,08/660592; 03/761039
البقاع الغربي,نبيل - جبجنين,جب جنين- الشارع العام- ملك الياس الحداد,08/662020
البقاع الغربي,نسيم صيدلية - المرج,المرج - old road First floor,03/955145
الجنوب - جزين,سليم - جزين,جزين سنتر عون ملك جان مارون سليم وجوزيف جان سليم عقار 1389 قسم,03/607457; 07/780762
الجنوب - صور,FAMILY PHARMACY - الصرفند,الصرفند-حي عين القنطرة-الشارع العام-الصرفند-العقار رقم 63-بابولك B-المحلين,81/010042
الجنوب - صور,PHARMACY SHOUR -,منطقة جناتا العقارية-حي صدر المغارة وكفت خلة العرب-عقار 6-القسم 3,07/400981; 70/827727
الجنوب - صور,Rola Pharmacy -,العباسية - مركز ساحلي سوق - ملك فؤاد ساحلي,03/949479
الجنوب - صور,الحياة - صور,منطقة صور العقارية - عقار رقم 2297 القسم رقم 4 -ملك عبير يوسف يونس,03/170442; 07/350073
الجنوب - صور,الزين - العباسية,العباسية حي البياضة مستشفى جبل عامل ملك نعي ملحم عقار 1975 قسم 7,03/052274; 07349933
الجنوب - صور,الشهابية - الشهابية,الشهابية حي درب السوق ملك احمد قاصوه عقار غير ممسوح,07/410870; 03/604791
الجنوب - صور,النور - العباسية,العباسية الشارع العام ملكه عقار 84 قسم 4,03/500560; 07/346308; 07/742742
الجنوب - صور,حرب - دير قانون,منطقة دير قانون النهر العقارية - عقار رقم 303 -بلوك ب -القسم رقم 1 ملك عبد الحفيظ عبدالله قصير,07/382114; 70/652380
الجنوب - صور,حكم - برج الشمالي,برج الشمالي مفرق قنا ملك قاسم برجي عقار 1691 قسم 6,03/337645; 07/346330
الجنوب - صور,حلال - صور,الاوتسترداد ملك خليل حلال عقار 941,70/993110; 07/430296
الجنوب - صور,حيدر - صور,صور البوابة ملك وقف الروم الكاثوليك,76/752836; 03/217496; 07/741411; 07/740428
الجنوب - صور,صور - صور,صور الرمل مدخل صور ملك صفيالدين عقار 9887,03/00443; 07/740328; 03/354684
الجنوب - صور,صوفان - باتولية,منطقة باتولية العقارية - عقار رقم 930 - ملك حسن محمد خليل,70/145028
الجنوب - صور,صيدلية الجواد - جوا,منطقة جوا العقارية - عقار 59 المحل الكائن في الجهة الغربية ملك باسم حمود,81/608486; 81/929677
الجنوب - صور,صيدلية الحسن-صور,منطقة معروب العقارية-عقار 510-المحل للجهة الشرقية للبناء رقم 1 ملك محمد عز الدين,76/142697; 70/528101
الجنوب - صور,صيدلية الحوث - صور,برج الشمالي الشارع العام/الحوث ملك حسن محمود عديدة عقار 1536 قسم 8,03/571221; 07/348428
الجنوب - صور,صيدلية العمد - الشهابية,الشهابية-قضاء صور-الشارع العام-العقار رقم 1194-ملك علي عبد الهادي ركين,03/895150; 07/412040
الجنوب - صور,صيدلية الوفاء - صديقين,صديقين حي كروم العتاق الشارع العام عقار غير ممسوح ملك حسين زين العابدين بلحس,81/934299
الجنوب - صور,صيدلية بدوي - العباسية,العباسية حي الحوث الشارع العام عقار رقم 79 محل رقم 1 البلوك C منطقة,70/001322; 07/346472
الجنوب - صور,صيدلية رشا بسما - صور,عين بعل - حي الحوث شارع كمال سلهب عقار 1109 قسم 5 ملك الحاج عبد الكريم وعبدالله سيتي,70/355226; 07/350391
الجنوب - صور,طباجه - مجالد,المجادل حي السهل الشارع العام عقار 171 ملك علي عبد الكريم نعيم,76/626082; 07/411209
الجنوب - صور,عزالدين - صور,صور - مفرق الاستراحة - شارع حافظ الاسد - ملك علي فريدون,07/741632
الجنوب - صور,عطوي - صور,صور-الروم الاورثونكس وقف الروم الاورثونكس عقار 379,70/658196; 03/702360; 07/740087
الجنوب - صور,قصير - دير قانون النهر,دير قانون النهر - حي ضهر الهواء - الشارع العام - ملك محمود و ربيع حريري,07/400448; 70/639349
الجنوب - صور,مادونا - دير قانون,منطقة دير قانون رأس العين العقارية رقم العقار 1118 القسم 6 ملك انعام حسين حردان وابتمان حردان,03/740356; 07/396316
الجنوب - صور,مايا - طير دبه,طير دبه - الشارع العام- ملك علي محمد شهاب,76/725886; 76/911734
الجنوب - صور,مسلماني - الناقورة,الناقورة الشارع العام ملك وهبي ابراهيم مسلماني عقار 381,07/340046; 03/733764
الجنوب - صور,معركة,معركة الشارع العام ملك محمد طرد عقار 1559,71/411417; 07/315315
الجنوب - صيدا,Dania Pharmacy - الداودية,الداودية - ملك محمد عبدالله حيدر,03/809692
الجنوب - صيدا,GREEN PHARMACY - الميمة,المية و المقاربة - حي عين الحلوة - العقار رقم 1066 - القسم 5 - بلوك A,03/705596
الجنوب - صيدا,Pharmacy AL-MOSTAFA - برج الشمالي,main street center hajo,07/350779
الجنوب - صيدا,Rabih Pharmacie - المصليح - الشارع العام- عقار 4/53 ملك حسن برو,المصليح - الشارع العام- عقار 4/53 ملك حسن برو,03/893144
الجنوب - صيدا,Saita Down Town Pharmacy - صيدا,صيدا منطقة الدكرمان العقارية-عقار 2116-القسم 6-ملك مازن العلالي,07/753227
الجنوب - صيدا,البابليه - الحاموشة - الشارع العام عار رقم 458 -ملك محمد عبد الحسين شاهين,البابليه - حي الحاموشة - الشارع العام عار رقم 458 -ملك محمد عبد الحسيين شاهين,03/907504; 07/421009
الجنوب - صيدا,البيطار - الدكرمان صيدا,صيدا - البراد - الزعتري الدكرمان ملك مصطفى البيطار عقار 1601/7 و 8 و 9,03/724922; 07/724922
الجنوب - صيدا,الجرللي - صيدا,صيدا-فخر الدين ملك دائرة الاقاف الاسلامية عقار 443,03/645423; 07/723051
الجنوب - صيدا,الزيباوي - صيدا,حي البراد-دوار مرجان-خلف بنك ميد بنية الحريري - الطابق الأرضي,70/076078; 07/730986
الجنوب - صيدا,السراي - الدكتوران - صيدا,صيدا حي الدكتوران دوار السراي اووتسترد الشرقى ملك وفاء صيلي عقار 1732,03/339678; 07/72740
الجنوب - صيدا,الصفاء - الزراعية,الزراعية الطريق العام ملك علي خليل عقار 1837,07/305309; 03/413263
الجنوب - صيدا,الغازية - الغازية,الغازية - ملك سعيد مصطفى عيسى,07/220028
الجنوب - صيدا,المروج - غسانية,الغسانية - الشارع العام - ملك محمدسليم عباس فوزا,07/420880
الجنوب - صيدا,الهاني - الهلالية - صيدا,الهلالية - جزيان-ملك محمد الجردلي عقار 263 قسم 6,08/872920; 07/722975
